unit_id,property_id,type,amenities,sqft,market_rent
PROP_001_U006,PROP_001,2BD,"['Doorman', 'View', 'Gym']",987,2399
PROP_001_U007,PROP_001,1BD,"['Doorman', 'Laundry']",823,3708
PROP_001_U008,PROP_001,1BD,"['Doorman', 'Gym', 'View']",772,5240
PROP_001_U009,PROP_001,3BD,"['View', 'Laundry']",1355,7707
PROP_001_U010,PROP_001,1BD,['Doorman'],794,3607
PROP_001_U011,PROP_001,3BD,"['Doorman', 'View', 'Laundry']",1407,7422
PROP_001_U012,PROP_001,Studio,"['Gym', 'Laundry', 'View', 'Doorman']",555,3093
PROP_001_U013,PROP_001,2BD,"['View', 'Gym', 'Doorman']",1071,1263
PROP_001_U014,PROP_001,Studio,"['Doorman', 'Gym', 'Laundry']",531,2671
PROP_001_U015,PROP_001,Studio,[],554,2852
PROP_001_U016,PROP_001,Studio,[],420,3528
PROP_001_U017,PROP_001,2BD,[],1022,5587
PROP_001_U018,PROP_001,1BD,[],758,1773
PROP_001_U019,PROP_001,1BD,[],821,5426
PROP_001_U020,PROP_001,1BD,[],778,4666
PROP_001_U021,PROP_001,1BD,['Gym'],722,500
PROP_001_U022,PROP_001,1BD,"['View', 'Doorman', 'Laundry', 'Gym']",708,2602
PROP_001_U023,PROP_001,2BD,[],1087,2737
PROP_001_U024,PROP_001,2BD,"['Doorman', 'Laundry']",927,4402
PROP_001_U025,PROP_001,2BD,['Doorman'],1013,4335
PROP_001_U026,PROP_001,2BD,[],1008,3169
PROP_001_U027,PROP_001,1BD,['Laundry'],814,3084
PROP_001_U028,PROP_001,1BD,"['View', 'Gym', 'Laundry']",717,3448
PROP_001_U029,PROP_001,2BD,"['Doorman', 'Gym', 'Laundry']",978,3853
PROP_001_U030,PROP_001,2BD,"['Gym', 'Laundry', 'View']",1038,2979
PROP_001_U031,PROP_001,1BD,['Laundry'],745,4298
PROP_001_U032,PROP_001,3BD,"['Gym', 'View']",1359,1345
PROP_001_U033,PROP_001,Studio,"['Gym', 'Laundry', 'View', 'Doorman']",573,3475
PROP_001_U034,PROP_001,Studio,['Gym'],484,3034
PROP_001_U035,PROP_001,Studio,"['Laundry', 'Doorman', 'View']",447,4027
PROP_001_U036,PROP_001,1BD,[],760,2820
PROP_001_U037,PROP_001,Studio,['View'],529,3881
PROP_001_U038,PROP_001,Studio,['Gym'],442,2907
PROP_001_U039,PROP_001,2BD,"['Laundry', 'View']",1010,4534
PROP_001_U040,PROP_001,Studio,[],424,4360
PROP_001_U041,PROP_001,1BD,"['Gym', 'View', 'Doorman', 'Laundry']",817,3616
PROP_001_U042,PROP_001,2BD,"['Doorman', 'Laundry', 'View']",1005,5628
PROP_001_U043,PROP_001,Studio,"['Doorman', 'Gym']",480,3221
PROP_001_U044,PROP_001,2BD,"['Doorman', 'Gym', 'View']",1059,4994
PROP_001_U045,PROP_001,1BD,[],778,1278
PROP_001_U046,PROP_001,1BD,['Gym'],769,4120
PROP_001_U047,PROP_001,3BD,['View'],1420,6661
PROP_001_U048,PROP_001,1BD,"['Gym', 'Doorman', 'Laundry']",669,3336
PROP_001_U049,PROP_001,3BD,"['View', 'Gym']",1353,3626
PROP_001_U050,PROP_001,2BD,"['Laundry', 'View', 'Doorman']",1010,5529
PROP_001_U051,PROP_001,1BD,"['Gym', 'Laundry', 'View']",748,3793
PROP_001_U052,PROP_001,2BD,[],1029,1706
PROP_001_U053,PROP_001,Studio,['Laundry'],547,3234
PROP_001_U054,PROP_001,2BD,"['Gym', 'View', 'Laundry']",926,3305
PROP_001_U055,PROP_001,2BD,[],951,1349
PROP_001_U056,PROP_001,1BD,"['Doorman', 'View', 'Laundry', 'Gym']",704,2608
PROP_001_U057,PROP_001,2BD,"['Laundry', 'View', 'Doorman', 'Gym']",989,4219
PROP_001_U058,PROP_001,2BD,"['Doorman', 'Laundry', 'Gym']",1080,3176
PROP_001_U059,PROP_001,Studio,"['Gym', 'Doorman']",524,2899
PROP_001_U060,PROP_001,1BD,"['Doorman', 'Laundry']",762,2497
PROP_001_U061,PROP_001,1BD,[],763,1573
PROP_001_U062,PROP_001,2BD,[],995,4452
PROP_001_U063,PROP_001,2BD,"['Laundry', 'Gym']",1033,2531
PROP_001_U064,PROP_001,Studio,"['Gym', 'Doorman']",400,2760
PROP_001_U065,PROP_001,1BD,"['View', 'Doorman', 'Laundry']",788,1097
PROP_001_U066,PROP_001,2BD,[],1053,5327
PROP_001_U067,PROP_001,3BD,"['Doorman', 'View']",1332,7280
PROP_001_U068,PROP_001,2BD,['Doorman'],1069,3390
PROP_001_U069,PROP_001,1BD,"['Doorman', 'View', 'Laundry']",689,2497
PROP_001_U070,PROP_001,1BD,"['View', 'Laundry', 'Gym', 'Doorman']",811,4070
PROP_001_U071,PROP_001,2BD,"['Laundry', 'View', 'Doorman', 'Gym']",1056,4449
PROP_001_U072,PROP_001,2BD,['Gym'],964,5020
PROP_001_U073,PROP_001,1BD,[],796,2477
PROP_001_U074,PROP_001,Studio,"['Gym', 'Doorman', 'Laundry', 'View']",449,3983
PROP_001_U075,PROP_001,1BD,"['Doorman', 'View', 'Gym', 'Laundry']",847,5519
PROP_001_U076,PROP_001,1BD,"['Gym', 'Doorman']",724,3613
PROP_001_U077,PROP_001,1BD,"['Laundry', 'Doorman']",727,4253
PROP_001_U078,PROP_001,1BD,[],769,1982
PROP_001_U079,PROP_001,1BD,"['Doorman', 'View', 'Laundry']",749,3915
PROP_001_U080,PROP_001,1BD,['View'],746,5896
PROP_001_U081,PROP_001,2BD,"['Laundry', 'View', 'Gym']",1039,5018
PROP_001_U082,PROP_001,1BD,[],867,4049
PROP_001_U083,PROP_001,1BD,[],742,5237
PROP_001_U084,PROP_001,3BD,['Laundry'],1466,2612
PROP_001_U085,PROP_001,1BD,"['Laundry', 'View', 'Doorman', 'Gym']",702,3751
PROP_001_U086,PROP_001,Studio,"['Gym', 'View']",533,2462
PROP_002_U000,PROP_002,2BD,"['Laundry', 'Doorman', 'View', 'Gym']",956,5258
PROP_002_U001,PROP_002,3BD,['Gym'],1378,500
PROP_002_U002,PROP_002,1BD,"['Gym', 'View', 'Doorman', 'Laundry']",795,3973
PROP_002_U003,PROP_002,Studio,['Laundry'],609,4387
PROP_002_U004,PROP_002,1BD,['Doorman'],715,2714
PROP_002_U005,PROP_002,2BD,['View'],995,11047
PROP_002_U006,PROP_002,Studio,"['View', 'Doorman', 'Gym']",420,4804
PROP_002_U007,PROP_002,Studio,[],414,4534
PROP_002_U008,PROP_002,2BD,"['View', 'Gym', 'Laundry', 'Doorman']",990,3815
PROP_002_U009,PROP_002,1BD,"['View', 'Gym', 'Laundry', 'Doorman']",809,5981
PROP_002_U010,PROP_002,1BD,"['View', 'Doorman', 'Laundry']",647,6750
PROP_002_U011,PROP_002,2BD,"['Laundry', 'Doorman']",999,5670
PROP_002_U012,PROP_002,3BD,['View'],1437,6393
PROP_002_U013,PROP_002,1BD,['Laundry'],768,3314
PROP_002_U014,PROP_002,1BD,"['Gym', 'Laundry', 'Doorman', 'View']",750,4914
PROP_002_U015,PROP_002,Studio,"['Laundry', 'View', 'Gym', 'Doorman']",444,5419
PROP_002_U016,PROP_002,3BD,"['View', 'Doorman']",1417,5082
PROP_002_U017,PROP_002,Studio,"['View', 'Gym', 'Laundry', 'Doorman']",531,4355
PROP_002_U018,PROP_002,2BD,[],948,3805
PROP_002_U019,PROP_002,2BD,"['View', 'Doorman']",993,7551
PROP_002_U020,PROP_002,Studio,['Laundry'],529,3763
PROP_002_U021,PROP_002,1BD,"['Laundry', 'View', 'Gym', 'Doorman']",753,4267
PROP_002_U022,PROP_002,1BD,['Doorman'],821,5661
PROP_002_U023,PROP_002,1BD,['Laundry'],783,8288
PROP_002_U024,PROP_002,Studio,"['Doorman', 'Gym', 'Laundry', 'View']",531,3996
PROP_002_U025,PROP_002,2BD,['Doorman'],953,8079
PROP_002_U026,PROP_002,2BD,['Doorman'],950,9466
PROP_002_U027,PROP_002,2BD,"['Laundry', 'View', 'Doorman']",1071,7072
PROP_002_U028,PROP_002,1BD,[],736,6631
PROP_002_U029,PROP_002,Studio,"['Laundry', 'Doorman', 'View']",536,4472
PROP_002_U030,PROP_002,2BD,[],927,3382
PROP_002_U031,PROP_002,2BD,"['Laundry', 'Doorman', 'Gym']",994,8065
PROP_002_U032,PROP_002,2BD,"['View', 'Laundry']",1041,5336
PROP_002_U033,PROP_002,1BD,[],796,9833
PROP_002_U034,PROP_002,2BD,"['View', 'Gym', 'Laundry', 'Doorman']",1071,8448
PROP_002_U035,PROP_002,1BD,['View'],706,3470
PROP_002_U036,PROP_002,3BD,"['Doorman', 'Laundry']",1411,6446
PROP_002_U037,PROP_002,2BD,[],1053,2142
PROP_002_U038,PROP_002,1BD,"['Laundry', 'View', 'Doorman', 'Gym']",711,4362
PROP_002_U039,PROP_002,1BD,['Laundry'],737,10768
PROP_002_U040,PROP_002,Studio,"['View', 'Doorman']",528,5349
PROP_002_U041,PROP_002,3BD,"['Gym', 'View', 'Doorman']",1526,8282
PROP_002_U042,PROP_002,2BD,"['View', 'Doorman', 'Gym']",1025,5808
PROP_002_U043,PROP_002,2BD,[],986,6458
PROP_002_U044,PROP_002,1BD,['Gym'],703,3758
PROP_002_U045,PROP_002,Studio,[],457,3467
PROP_002_U046,PROP_002,2BD,"['Laundry', 'View', 'Gym']",1040,5799
PROP_002_U047,PROP_002,1BD,['Gym'],733,1454
PROP_002_U048,PROP_002,2BD,"['Doorman', 'Laundry']",1025,4162
PROP_002_U049,PROP_002,1BD,[],795,6608
PROP_002_U050,PROP_002,1BD,"['Doorman', 'Gym']",726,6060
PROP_002_U051,PROP_002,2BD,['Gym'],1116,3953
PROP_002_U052,PROP_002,2BD,['View'],965,6461
PROP_002_U053,PROP_002,2BD,[],907,7895
PROP_002_U054,PROP_002,Studio,"['Gym', 'Doorman', 'Laundry', 'View']",542,4675
PROP_002_U055,PROP_002,1BD,['Laundry'],856,8110
PROP_002_U056,PROP_002,2BD,['Doorman'],1006,7149
PROP_002_U057,PROP_002,1BD,"['Laundry', 'Gym', 'View', 'Doorman']",810,8630
PROP_002_U058,PROP_002,1BD,"['Gym', 'View', 'Laundry', 'Doorman']",783,4859
PROP_002_U059,PROP_002,2BD,"['View', 'Doorman']",997,7185
PROP_002_U060,PROP_002,Studio,['Doorman'],512,3584
PROP_002_U061,PROP_002,2BD,"['View', 'Gym', 'Laundry', 'Doorman']",1001,7731
PROP_002_U062,PROP_002,2BD,['Doorman'],1023,5849
PROP_002_U063,PROP_002,1BD,[],795,4406
PROP_002_U064,PROP_002,2BD,['Doorman'],1083,7991
PROP_002_U065,PROP_002,Studio,"['Doorman', 'Gym']",532,6245
PROP_002_U066,PROP_002,1BD,"['Gym', 'Doorman']",734,6656
PROP_002_U067,PROP_002,1BD,"['Laundry', 'Doorman', 'Gym']",741,4743
PROP_002_U068,PROP_002,2BD,"['Laundry', 'Doorman', 'View']",1019,5746
PROP_003_U000,PROP_003,Studio,[],499,3750
PROP_003_U001,PROP_003,Studio,"['Gym', 'Laundry', 'Doorman', 'View']",505,4488
PROP_003_U002,PROP_003,1BD,"['Gym', 'Doorman', 'View']",778,5330
PROP_003_U003,PROP_003,1BD,[],691,4992
PROP_003_U004,PROP_003,1BD,"['Doorman', 'Gym', 'View', 'Laundry']",796,8602
PROP_003_U005,PROP_003,1BD,"['View', 'Gym']",732,3455
PROP_003_U006,PROP_003,1BD,"['Gym', 'Doorman', 'Laundry']",824,5286
PROP_003_U007,PROP_003,1BD,[],759,4410
PROP_003_U008,PROP_003,1BD,[],766,8022
PROP_003_U009,PROP_003,1BD,['Gym'],758,4706
PROP_003_U010,PROP_003,2BD,"['View', 'Doorman', 'Laundry']",1051,4922
PROP_003_U011,PROP_003,1BD,"['Doorman', 'View', 'Gym', 'Laundry']",737,6276
PROP_003_U012,PROP_003,1BD,"['View', 'Gym', 'Doorman']",753,7781
PROP_003_U013,PROP_003,Studio,['Laundry'],509,4868
PROP_003_U014,PROP_003,2BD,"['Gym', 'View', 'Doorman']",978,5207
PROP_003_U015,PROP_003,1BD,[],780,2207
PROP_003_U016,PROP_003,2BD,[],914,7877
PROP_003_U017,PROP_003,1BD,"['Gym', 'Laundry', 'View']",700,9231
PROP_003_U018,PROP_003,1BD,"['Doorman', 'Gym', 'Laundry']",699,4618
PROP_003_U019,PROP_003,3BD,[],1404,6743
PROP_003_U020,PROP_003,1BD,"['View', 'Gym']",729,4776
PROP_003_U021,PROP_003,2BD,[],1025,6110
PROP_003_U022,PROP_003,2BD,"['Laundry', 'Gym']",961,3212
PROP_003_U023,PROP_003,1BD,[],698,7883
PROP_003_U024,PROP_003,1BD,"['Laundry', 'View']",725,5088
PROP_003_U025,PROP_003,1BD,"['Laundry', 'Gym', 'Doorman', 'View']",696,6188
PROP_003_U026,PROP_003,2BD,"['View', 'Gym', 'Laundry', 'Doorman']",995,7210
PROP_003_U027,PROP_003,1BD,"['View', 'Laundry', 'Doorman']",701,4372
PROP_003_U028,PROP_003,2BD,"['Gym', 'Laundry', 'View']",969,5855
PROP_003_U029,PROP_003,Studio,['Laundry'],526,4089
PROP_003_U030,PROP_003,3BD,"['Doorman', 'View', 'Gym']",1423,500
PROP_003_U031,PROP_003,1BD,"['View', 'Doorman', 'Laundry', 'Gym']",789,6681
PROP_003_U032,PROP_003,2BD,"['Doorman', 'Gym', 'View']",1056,6304
PROP_003_U033,PROP_003,2BD,"['Gym', 'Doorman', 'View']",983,8251
PROP_003_U034,PROP_003,1BD,"['Gym', 'Laundry', 'Doorman', 'View']",743,5771
PROP_003_U035,PROP_003,Studio,"['View', 'Gym']",550,3598
PROP_003_U036,PROP_003,2BD,['Laundry'],998,9115
PROP_003_U037,PROP_003,1BD,"['Gym', 'View', 'Doorman', 'Laundry']",735,3502
PROP_003_U038,PROP_003,2BD,"['Gym', 'Laundry', 'View', 'Doorman']",996,4417
PROP_003_U039,PROP_003,1BD,[],766,4656
PROP_003_U040,PROP_003,Studio,"['View', 'Laundry']",507,4331
PROP_003_U041,PROP_003,2BD,"['Doorman', 'Laundry']",995,5287
PROP_003_U042,PROP_003,Studio,"['Gym', 'View', 'Laundry', 'Doorman']",436,4926
PROP_003_U043,PROP_003,2BD,['View'],961,5272
PROP_003_U044,PROP_003,Studio,"['View', 'Gym', 'Doorman', 'Laundry']",488,3920
PROP_003_U045,PROP_003,2BD,"['Gym', 'Laundry', 'View', 'Doorman']",964,3352
PROP_003_U046,PROP_003,2BD,"['Gym', 'View']",1070,4738
PROP_003_U047,PROP_003,2BD,[],1031,2165
PROP_003_U048,PROP_003,Studio,"['Doorman', 'View', 'Gym']",488,3873
PROP_003_U049,PROP_003,2BD,"['View', 'Gym', 'Laundry', 'Doorman']",955,8563
PROP_003_U050,PROP_003,Studio,"['Gym', 'Laundry']",480,5693
PROP_003_U051,PROP_003,1BD,"['Gym', 'Doorman', 'Laundry', 'View']",656,4789
PROP_003_U052,PROP_003,1BD,"['View', 'Doorman', 'Gym', 'Laundry']",704,5625
PROP_003_U053,PROP_003,2BD,[],966,7811
PROP_003_U054,PROP_003,2BD,"['View', 'Laundry']",1008,8136
PROP_003_U055,PROP_003,1BD,"['Doorman', 'Gym', 'Laundry']",782,7430
PROP_003_U056,PROP_003,Studio,"['Gym', 'Doorman']",461,3610
PROP_003_U057,PROP_003,1BD,"['Laundry', 'Gym', 'Doorman', 'View']",803,4367
PROP_003_U058,PROP_003,3BD,['Laundry'],1302,5707
PROP_003_U059,PROP_003,2BD,"['View', 'Laundry']",1034,3864
PROP_003_U060,PROP_003,1BD,[],723,6251
PROP_003_U061,PROP_003,1BD,"['Gym', 'Doorman', 'Laundry']",666,1640
PROP_003_U062,PROP_003,1BD,['Gym'],743,8589
PROP_003_U063,PROP_003,1BD,[],821,5306
PROP_003_U064,PROP_003,Studio,"['Doorman', 'Gym', 'Laundry', 'View']",504,5616
PROP_003_U065,PROP_003,2BD,"['Doorman', 'View', 'Gym']",978,4600
PROP_004_U000,PROP_004,1BD,"['Gym', 'Laundry']",814,500
PROP_004_U001,PROP_004,1BD,[],850,2836
PROP_004_U002,PROP_004,1BD,['Laundry'],746,2608
PROP_004_U003,PROP_004,2BD,"['Doorman', 'Laundry', 'View', 'Gym']",943,2920
PROP_004_U004,PROP_004,3BD,"['Laundry', 'Gym', 'Doorman', 'View']",1391,1129
PROP_004_U005,PROP_004,Studio,"['Gym', 'Laundry', 'View']",474,2170
PROP_004_U006,PROP_004,2BD,[],1062,3481
PROP_004_U007,PROP_004,2BD,"['View', 'Gym', 'Laundry', 'Doorman']",970,2368
PROP_004_U008,PROP_004,1BD,"['Gym', 'Laundry', 'View', 'Doorman']",835,2454
PROP_004_U009,PROP_004,2BD,"['Doorman', 'Laundry', 'Gym', 'View']",920,5541
PROP_004_U010,PROP_004,2BD,"['Doorman', 'Laundry']",1034,500
PROP_004_U011,PROP_004,Studio,"['Gym', 'Laundry', 'View', 'Doorman']",488,1943
PROP_004_U012,PROP_004,Studio,"['Laundry', 'Doorman', 'View', 'Gym']",407,2047
PROP_004_U013,PROP_004,2BD,"['Gym', 'View', 'Doorman', 'Laundry']",982,2886
PROP_004_U014,PROP_004,2BD,[],895,3447
PROP_004_U015,PROP_004,1BD,"['Gym', 'View', 'Laundry', 'Doorman']",727,1729
PROP_004_U016,PROP_004,1BD,[],777,3511
PROP_004_U017,PROP_004,2BD,"['Gym', 'View']",1021,3532
PROP_004_U018,PROP_004,2BD,"['Doorman', 'View']",1072,1525
PROP_004_U019,PROP_004,3BD,"['Doorman', 'Gym', 'View']",1349,3292
PROP_004_U020,PROP_004,3BD,"['Laundry', 'Doorman', 'Gym', 'View']",1415,1184
PROP_004_U021,PROP_004,2BD,"['Doorman', 'View', 'Laundry', 'Gym']",935,4027
PROP_004_U022,PROP_004,2BD,['Laundry'],996,3338
PROP_004_U023,PROP_004,1BD,"['Doorman', 'Gym', 'Laundry']",816,1956
PROP_004_U024,PROP_004,2BD,['Doorman'],1007,2081
PROP_004_U025,PROP_004,2BD,"['View', 'Laundry', 'Gym']",966,2892
PROP_004_U026,PROP_004,1BD,[],717,2961
PROP_004_U027,PROP_004,2BD,"['Laundry', 'View', 'Gym']",1079,2730
PROP_004_U028,PROP_004,2BD,"['View', 'Laundry']",1017,500
PROP_004_U029,PROP_004,2BD,"['Doorman', 'Gym', 'View']",966,1240
PROP_004_U030,PROP_004,2BD,"['Doorman', 'Laundry']",1011,1331
PROP_004_U031,PROP_004,Studio,"['Laundry', 'Gym']",514,1893
PROP_004_U032,PROP_004,2BD,"['Laundry', 'Doorman', 'View', 'Gym']",1063,3627
PROP_004_U033,PROP_004,1BD,['Laundry'],748,1623
PROP_004_U034,PROP_004,2BD,"['View', 'Laundry']",1029,3956
PROP_004_U035,PROP_004,1BD,['Laundry'],696,1985
PROP_004_U036,PROP_004,3BD,"['Laundry', 'Doorman']",1435,5200
PROP_004_U037,PROP_004,3BD,"['View', 'Laundry', 'Doorman']",1345,2878
PROP_005_U000,PROP_005,3BD,"['Laundry', 'Gym']",1375,1496
PROP_005_U001,PROP_005,1BD,"['View', 'Doorman', 'Gym']",706,1830
PROP_005_U002,PROP_005,Studio,[],418,2803
PROP_005_U003,PROP_005,2BD,[],946,7327
PROP_005_U004,PROP_005,2BD,"['Doorman', 'Gym']",1042,2356
PROP_005_U005,PROP_005,Studio,[],488,4346
PROP_005_U006,PROP_005,Studio,[],539,3347
PROP_005_U007,PROP_005,2BD,"['Laundry', 'Doorman']",969,3849
PROP_005_U008,PROP_005,Studio,"['View', 'Gym', 'Laundry']",479,2355
PROP_005_U009,PROP_005,2BD,"['Laundry', 'View', 'Doorman', 'Gym']",960,4198
PROP_005_U010,PROP_005,Studio,"['View', 'Doorman', 'Gym']",458,3225
PROP_005_U011,PROP_005,1BD,"['View', 'Doorman']",751,2994
PROP_005_U012,PROP_005,1BD,"['Doorman', 'Laundry']",766,4986
PROP_005_U013,PROP_005,1BD,"['View', 'Doorman']",777,6966
PROP_005_U014,PROP_005,2BD,['Gym'],988,6393
PROP_005_U015,PROP_005,1BD,"['Laundry', 'Gym', 'View', 'Doorman']",776,2101
PROP_005_U016,PROP_005,Studio,"['Doorman', 'View', 'Gym', 'Laundry']",549,3686
PROP_005_U017,PROP_005,2BD,[],953,2330
PROP_005_U018,PROP_005,1BD,"['Gym', 'Doorman', 'View', 'Laundry']",810,3073
PROP_005_U019,PROP_005,1BD,['Gym'],701,3484
PROP_005_U020,PROP_005,2BD,"['View', 'Gym', 'Laundry']",1010,3665
PROP_005_U021,PROP_005,1BD,[],786,3496
PROP_005_U022,PROP_005,3BD,"['Laundry', 'Doorman', 'Gym', 'View']",1368,6859
PROP_005_U023,PROP_005,1BD,"['Doorman', 'Gym', 'Laundry', 'View']",715,7262
PROP_006_U000,PROP_006,1BD,['Doorman'],803,6127
PROP_006_U001,PROP_006,3BD,['Doorman'],1361,10582
PROP_006_U002,PROP_006,2BD,"['Gym', 'View']",1072,5575
PROP_006_U003,PROP_006,2BD,"['Laundry', 'View', 'Gym']",967,6013
PROP_006_U004,PROP_006,2BD,"['View', 'Gym', 'Doorman']",997,6956
