unit_id,property_id,unit_number,type,sqft,market_rent,status
PROP_002_U046,PROP_002,1046,2B2B,1156,1462,Vacant
PROP_002_U047,PROP_002,1047,Studio,469,856,Vacant
PROP_002_U048,PROP_002,1048,2B2B,985,1478,Vacant
PROP_002_U049,PROP_002,349,3B2B,1168,1868,Vacant
PROP_002_U050,PROP_002,550,Studio,557,807,Vacant
PROP_002_U051,PROP_002,951,2B2B,1000,1356,Vacant
PROP_002_U052,PROP_002,752,2B1B,931,1178,Vacant
PROP_002_U053,PROP_002,453,2B2B,967,1338,Vacant
PROP_002_U054,PROP_002,554,2B1B,945,1179,Vacant
PROP_002_U055,PROP_002,355,3B2B,1159,1721,Vacant
PROP_002_U056,PROP_002,1056,3B2B,1170,1830,Vacant
PROP_002_U057,PROP_002,757,2B1B,915,1417,Vacant
PROP_002_U058,PROP_002,158,Studio,447,723,Vacant
PROP_002_U059,PROP_002,659,2B2B,987,1278,Vacant
PROP_002_U060,PROP_002,660,2B1B,893,1182,Vacant
PROP_002_U061,PROP_002,161,2B1B,860,1242,Vacant
PROP_002_U062,PROP_002,962,1B1B,689,989,Vacant
PROP_002_U063,PROP_002,1063,1B1B,630,1027,Vacant
PROP_002_U064,PROP_002,364,1B1B,758,976,Vacant
PROP_002_U065,PROP_002,565,2B2B,1013,1351,Vacant
PROP_002_U066,PROP_002,1066,2B2B,984,1517,Vacant
PROP_002_U067,PROP_002,367,1B1B,687,1013,Vacant
PROP_002_U068,PROP_002,1068,Studio,596,874,Vacant
PROP_002_U069,PROP_002,769,Studio,597,797,Vacant
PROP_002_U070,PROP_002,170,2B1B,896,1405,Vacant
PROP_002_U071,PROP_002,871,2B2B,1043,1446,Vacant
PROP_002_U072,PROP_002,972,Studio,573,839,Vacant
PROP_002_U073,PROP_002,173,2B1B,854,1358,Vacant
PROP_002_U074,PROP_002,474,2B1B,972,1315,Vacant
PROP_002_U075,PROP_002,875,2B2B,980,1272,Vacant
PROP_002_U076,PROP_002,376,Studio,408,724,Vacant
PROP_002_U077,PROP_002,177,3B2B,1440,1848,Vacant
PROP_002_U078,PROP_002,178,3B2B,1318,1549,Vacant
PROP_002_U079,PROP_002,279,2B2B,956,1530,Vacant
PROP_002_U080,PROP_002,880,3B2B,1299,1633,Vacant
PROP_002_U081,PROP_002,781,2B1B,887,1411,Vacant
PROP_002_U082,PROP_002,882,3B2B,1438,1817,Vacant
PROP_002_U083,PROP_002,583,Studio,586,862,Vacant
PROP_002_U084,PROP_002,784,Studio,573,878,Vacant
PROP_002_U085,PROP_002,1085,3B2B,1363,1837,Vacant
PROP_002_U086,PROP_002,186,Studio,532,868,Vacant
PROP_002_U087,PROP_002,487,2B2B,1131,1273,Vacant
PROP_002_U088,PROP_002,488,Studio,442,814,Vacant
PROP_003_U000,PROP_003,900,1B1B,792,968,Vacant
PROP_003_U001,PROP_003,701,3B2B,1264,1841,Vacant
PROP_003_U002,PROP_003,802,3B2B,1327,1746,Vacant
PROP_003_U003,PROP_003,303,2B1B,874,1339,Vacant
PROP_003_U004,PROP_003,704,3B2B,1274,1615,Vacant
PROP_003_U005,PROP_003,905,3B2B,1127,1754,Vacant
PROP_003_U006,PROP_003,806,2B2B,1011,1497,Vacant
PROP_003_U007,PROP_003,507,Studio,560,826,Vacant
PROP_003_U008,PROP_003,808,2B1B,929,1315,Vacant
PROP_003_U009,PROP_003,209,1B1B,766,924,Vacant
PROP_003_U010,PROP_003,910,2B1B,818,1237,Vacant
PROP_003_U011,PROP_003,811,Studio,472,837,Vacant
PROP_003_U012,PROP_003,512,1B1B,712,979,Vacant
PROP_004_U000,PROP_004,1000,3B2B,1152,2451,Vacant
PROP_004_U001,PROP_004,501,Studio,409,1121,Vacant
PROP_004_U002,PROP_004,602,1B1B,732,1522,Vacant
PROP_004_U003,PROP_004,903,2B1B,807,1922,Vacant
PROP_004_U004,PROP_004,104,1B1B,702,1545,Vacant
PROP_004_U005,PROP_004,105,1B1B,791,1526,Vacant
PROP_004_U006,PROP_004,106,2B2B,1189,1982,Vacant
PROP_004_U007,PROP_004,107,2B2B,1115,2181,Vacant
PROP_004_U008,PROP_004,408,1B1B,609,1381,Vacant
PROP_004_U009,PROP_004,809,Studio,450,1100,Vacant
PROP_004_U010,PROP_004,310,2B1B,984,2042,Vacant
PROP_004_U011,PROP_004,1011,3B2B,1498,2794,Vacant
PROP_004_U012,PROP_004,212,2B1B,912,2118,Vacant
PROP_004_U013,PROP_004,713,2B2B,1087,1939,Vacant
PROP_004_U014,PROP_004,1014,Studio,484,1264,Vacant
PROP_004_U015,PROP_004,615,1B1B,618,1438,Vacant
PROP_004_U016,PROP_004,916,2B2B,1096,1902,Vacant
PROP_004_U017,PROP_004,817,Studio,569,1318,Vacant
PROP_004_U018,PROP_004,118,2B2B,1006,2046,Vacant
PROP_004_U019,PROP_004,119,3B2B,1146,2620,Vacant
PROP_004_U020,PROP_004,120,2B2B,1138,2296,Vacant
PROP_004_U021,PROP_004,421,1B1B,765,1603,Vacant
PROP_004_U022,PROP_004,822,2B1B,849,1976,Vacant
PROP_004_U023,PROP_004,623,3B2B,1358,2599,Vacant
PROP_004_U024,PROP_004,624,2B2B,959,1974,Vacant
PROP_004_U025,PROP_004,425,Studio,509,1118,Vacant
PROP_004_U026,PROP_004,526,3B2B,1401,2723,Vacant
PROP_004_U027,PROP_004,927,2B1B,842,2002,Vacant
PROP_004_U028,PROP_004,1028,1B1B,614,1454,Vacant
PROP_004_U029,PROP_004,829,3B2B,1397,2614,Vacant
PROP_004_U030,PROP_004,330,Studio,508,1304,Vacant
PROP_004_U031,PROP_004,231,2B1B,968,2000,Vacant
PROP_004_U032,PROP_004,332,2B1B,992,2117,Vacant
PROP_004_U033,PROP_004,533,Studio,475,1215,Vacant
PROP_004_U034,PROP_004,134,2B2B,961,1943,Vacant
PROP_004_U035,PROP_004,535,1B1B,742,1550,Vacant
PROP_004_U036,PROP_004,236,3B2B,1375,2594,Vacant
PROP_004_U037,PROP_004,637,Studio,600,1269,Vacant
PROP_004_U038,PROP_004,1038,3B2B,1209,2518,Vacant
PROP_004_U039,PROP_004,239,2B1B,974,1921,Vacant
PROP_004_U040,PROP_004,840,Studio,540,1184,Vacant
PROP_004_U041,PROP_004,1041,Studio,557,1168,Vacant
PROP_004_U042,PROP_004,342,Studio,555,1197,Vacant
PROP_004_U043,PROP_004,543,3B2B,1177,2609,Vacant
PROP_004_U044,PROP_004,444,2B2B,1032,2030,Vacant
PROP_004_U045,PROP_004,745,2B2B,1099,1891,Vacant
PROP_004_U046,PROP_004,146,Studio,439,1314,Vacant
PROP_004_U047,PROP_004,847,1B1B,777,1463,Vacant
PROP_004_U048,PROP_004,548,Studio,548,1219,Vacant
PROP_004_U049,PROP_004,749,2B1B,896,1837,Vacant
PROP_004_U050,PROP_004,650,1B1B,774,1501,Vacant
PROP_004_U051,PROP_004,251,2B1B,877,2082,Vacant
PROP_004_U052,PROP_004,452,3B2B,1243,2491,Vacant
PROP_004_U053,PROP_004,1053,3B2B,1399,2768,Vacant
PROP_004_U054,PROP_004,154,Studio,440,1238,Vacant
PROP_004_U055,PROP_004,755,1B1B,607,1387,Vacant
PROP_004_U056,PROP_004,556,3B2B,1496,2403,Vacant
PROP_004_U057,PROP_004,957,Studio,550,1189,Vacant
PROP_004_U058,PROP_004,158,Studio,598,1171,Vacant
PROP_004_U059,PROP_004,1059,Studio,599,1290,Vacant
PROP_004_U060,PROP_004,360,Studio,568,1243,Vacant
PROP_004_U061,PROP_004,661,2B1B,804,1986,Vacant
PROP_004_U062,PROP_004,862,2B2B,1059,2275,Vacant
PROP_005_U000,PROP_005,700,1B1B,644,1276,Vacant
PROP_005_U001,PROP_005,601,3B2B,1376,2599,Vacant
PROP_005_U002,PROP_005,502,2B1B,935,1874,Vacant
PROP_005_U003,PROP_005,503,Studio,461,1169,Vacant
PROP_005_U004,PROP_005,304,2B2B,1146,1810,Vacant
PROP_005_U005,PROP_005,705,2B1B,909,1766,Vacant
PROP_005_U006,PROP_005,106,1B1B,656,1355,Vacant
PROP_005_U007,PROP_005,307,Studio,454,1018,Vacant
PROP_005_U008,PROP_005,308,3B2B,1145,2490,Vacant
PROP_005_U009,PROP_005,1009,3B2B,1207,2345,Vacant
PROP_005_U010,PROP_005,1010,2B1B,967,1741,Vacant
PROP_005_U011,PROP_005,911,1B1B,730,1484,Vacant
PROP_005_U012,PROP_005,612,2B2B,993,1917,Vacant
PROP_005_U013,PROP_005,713,Studio,560,1117,Vacant
PROP_005_U014,PROP_005,1014,2B1B,994,1651,Vacant
PROP_005_U015,PROP_005,315,Studio,538,1132,Vacant
PROP_005_U016,PROP_005,816,2B1B,976,1920,Vacant
PROP_005_U017,PROP_005,517,1B1B,751,1471,Vacant
PROP_005_U018,PROP_005,618,2B1B,824,1645,Vacant
PROP_005_U019,PROP_005,1019,3B2B,1414,2573,Vacant
PROP_005_U020,PROP_005,220,2B1B,820,1756,Vacant
PROP_005_U021,PROP_005,321,1B1B,778,1422,Vacant
PROP_005_U022,PROP_005,122,1B1B,640,1380,Vacant
PROP_005_U023,PROP_005,523,2B1B,881,1840,Vacant
PROP_005_U024,PROP_005,724,2B2B,1134,1811,Vacant
PROP_005_U025,PROP_005,825,2B2B,1151,2121,Vacant
PROP_005_U026,PROP_005,1026,3B2B,1400,2170,Vacant
PROP_005_U027,PROP_005,627,2B1B,879,1680,Vacant
PROP_005_U028,PROP_005,1028,2B2B,972,2134,Vacant
PROP_005_U029,PROP_005,429,1B1B,742,1262,Vacant
PROP_005_U030,PROP_005,930,Studio,504,1058,Vacant
PROP_005_U031,PROP_005,331,3B2B,1198,2392,Vacant
PROP_005_U032,PROP_005,632,2B2B,1096,2023,Vacant
PROP_005_U033,PROP_005,633,3B2B,1236,2418,Vacant
PROP_005_U034,PROP_005,534,2B1B,914,1874,Vacant
PROP_005_U035,PROP_005,335,3B2B,1171,2435,Vacant
PROP_005_U036,PROP_005,436,2B2B,1040,2003,Vacant
PROP_005_U037,PROP_005,237,Studio,458,1084,Vacant
PROP_005_U038,PROP_005,138,2B2B,1191,1907,Vacant
PROP_005_U039,PROP_005,739,1B1B,636,1270,Vacant
PROP_005_U040,PROP_005,140,3B2B,1148,2172,Vacant
PROP_005_U041,PROP_005,141,1B1B,725,1510,Vacant
PROP_005_U042,PROP_005,442,1B1B,631,1314,Vacant
PROP_005_U043,PROP_005,643,2B1B,994,1759,Vacant
PROP_005_U044,PROP_005,944,2B2B,977,1948,Vacant
PROP_005_U045,PROP_005,345,Studio,444,1010,Vacant
PROP_005_U046,PROP_005,146,2B1B,991,1668,Vacant
PROP_005_U047,PROP_005,247,1B1B,798,1315,Vacant
PROP_005_U048,PROP_005,148,2B2B,1061,1896,Vacant
PROP_005_U049,PROP_005,649,2B1B,916,1900,Vacant
PROP_005_U050,PROP_005,1050,2B2B,1096,1943,Vacant
PROP_005_U051,PROP_005,551,2B2B,999,2076,Vacant
PROP_005_U052,PROP_005,952,2B2B,1086,1778,Vacant
PROP_005_U053,PROP_005,253,3B2B,1183,2407,Vacant
PROP_005_U054,PROP_005,854,3B2B,1169,2240,Vacant
PROP_005_U055,PROP_005,455,2B2B,1104,2027,Vacant
PROP_005_U056,PROP_005,256,3B2B,1401,2304,Vacant
PROP_005_U057,PROP_005,657,2B2B,957,1896,Vacant
PROP_005_U058,PROP_005,158,2B2B,1091,2129,Vacant
PROP_005_U059,PROP_005,159,Studio,573,1127,Vacant
PROP_005_U060,PROP_005,960,1B1B,607,1533,Vacant
PROP_005_U061,PROP_005,761,Studio,430,1197,Vacant
PROP_005_U062,PROP_005,662,2B1B,899,1809,Vacant
PROP_005_U063,PROP_005,563,1B1B,796,1399,Vacant
PROP_005_U064,PROP_005,964,Studio,496,1085,Vacant
PROP_005_U065,PROP_005,265,Studio,522,1216,Vacant
PROP_005_U066,PROP_005,666,2B2B,1095,1857,Vacant
PROP_005_U067,PROP_005,167,1B1B,705,1398,Vacant
PROP_005_U068,PROP_005,868,1B1B,672,1413,Vacant
PROP_005_U069,PROP_005,469,2B2B,1073,2058,Vacant
PROP_005_U070,PROP_005,1070,1B1B,615,1525,Vacant
PROP_005_U071,PROP_005,971,2B1B,830,1839,Vacant
PROP_005_U072,PROP_005,272,3B2B,1397,2417,Vacant
PROP_005_U073,PROP_005,773,1B1B,697,1386,Vacant
PROP_005_U074,PROP_005,674,1B1B,657,1508,Vacant
PROP_005_U075,PROP_005,575,1B1B,731,1408,Vacant
PROP_005_U076,PROP_005,576,2B2B,1091,1870,Vacant
PROP_005_U077,PROP_005,977,3B2B,1234,2610,Vacant
PROP_005_U078,PROP_005,578,1B1B,760,1431,Vacant
PROP_005_U079,PROP_005,679,1B1B,765,1262,Vacant
PROP_005_U080,PROP_005,480,1B1B,709,1501,Vacant
PROP_006_U000,PROP_006,500,3B2B,1399,1341,Vacant
PROP_006_U001,PROP_006,101,2B1B,921,1118,Vacant
PROP_006_U002,PROP_006,502,2B1B,914,948,Vacant
PROP_006_U003,PROP_006,103,2B1B,923,1063,Vacant
PROP_006_U004,PROP_006,304,2B2B,978,1219,Vacant
PROP_006_U005,PROP_006,305,3B2B,1280,1398,Vacant
PROP_006_U006,PROP_006,906,3B2B,1157,1386,Vacant
PROP_006_U007,PROP_006,407,2B2B,1029,1093,Vacant
PROP_006_U008,PROP_006,608,2B2B,979,1141,Vacant
PROP_006_U009,PROP_006,609,3B2B,1279,1245,Vacant
PROP_006_U010,PROP_006,710,1B1B,650,793,Vacant
PROP_006_U011,PROP_006,711,1B1B,606,776,Vacant
PROP_006_U012,PROP_006,812,1B1B,672,804,Vacant
PROP_006_U013,PROP_006,713,1B1B,796,757,Vacant
PROP_006_U014,PROP_006,1014,2B1B,972,1028,Vacant
PROP_006_U015,PROP_006,715,2B1B,950,1106,Vacant
PROP_006_U016,PROP_006,416,2B2B,1071,1194,Vacant
PROP_006_U017,PROP_006,617,1B1B,750,830,Vacant
PROP_006_U018,PROP_006,818,3B2B,1404,1377,Vacant
PROP_006_U019,PROP_006,619,3B2B,1225,1447,Vacant
PROP_006_U020,PROP_006,320,Studio,561,592,Vacant
PROP_006_U021,PROP_006,621,1B1B,651,833,Vacant
PROP_006_U022,PROP_006,322,2B2B,1048,1097,Vacant
PROP_006_U023,PROP_006,723,1B1B,767,864,Vacant
PROP_006_U024,PROP_006,924,Studio,454,588,Vacant
PROP_006_U025,PROP_006,225,2B2B,1146,1219,Vacant
PROP_006_U026,PROP_006,526,2B1B,826,1044,Vacant
PROP_006_U027,PROP_006,1027,2B1B,954,984,Vacant
PROP_006_U028,PROP_006,528,1B1B,772,831,Vacant
PROP_006_U029,PROP_006,529,3B2B,1424,1374,Vacant
PROP_006_U030,PROP_006,130,1B1B,744,809,Vacant
PROP_006_U031,PROP_006,931,3B2B,1449,1380,Vacant
PROP_006_U032,PROP_006,532,Studio,540,577,Vacant
PROP_006_U033,PROP_006,733,2B2B,1173,1174,Vacant
PROP_006_U034,PROP_006,434,Studio,585,675,Vacant
PROP_006_U035,PROP_006,535,1B1B,798,833,Vacant
PROP_006_U036,PROP_006,636,3B2B,1379,1415,Vacant
PROP_006_U037,PROP_006,337,1B1B,776,858,Vacant
PROP_006_U038,PROP_006,838,2B1B,836,1071,Vacant
PROP_006_U039,PROP_006,1039,1B1B,744,757,Vacant
PROP_006_U040,PROP_006,540,3B2B,1317,1478,Vacant
PROP_006_U041,PROP_006,841,2B1B,844,1138,Vacant
PROP_006_U042,PROP_006,1042,2B1B,882,987,Vacant
PROP_006_U043,PROP_006,943,Studio,549,601,Vacant
PROP_006_U044,PROP_006,944,Studio,440,678,Vacant
PROP_006_U045,PROP_006,345,1B1B,611,765,Vacant
PROP_006_U046,PROP_006,546,Studio,571,640,Vacant
PROP_006_U047,PROP_006,647,2B2B,1196,1115,Vacant
PROP_006_U048,PROP_006,148,Studio,541,618,Vacant
PROP_006_U049,PROP_006,949,3B2B,1418,1356,Vacant
PROP_006_U050,PROP_006,450,1B1B,600,762,Vacant
PROP_006_U051,PROP_006,251,1B1B,740,808,Vacant
PROP_006_U052,PROP_006,752,1B1B,763,862,Vacant
PROP_006_U053,PROP_006,853,Studio,411,698,Vacant
PROP_006_U054,PROP_006,254,3B2B,1492,1240,Vacant
PROP_006_U055,PROP_006,455,1B1B,631,854,Vacant
PROP_006_U056,PROP_006,1056,3B2B,1418,1458,Vacant
PROP_006_U057,PROP_006,257,3B2B,1450,1451,Vacant
